1996-07-01,SPLSYSHP  54.0-64.9 BTUH,36458
1996-07-01,SPLITSYS  UNDER 16.5 BTU,10341
1996-07-01,SPLITSYS  16.5-21.9 BTUH,175174
1996-07-01,SPLITSYS  22.0-26.9 BTUH,570624
1996-07-01,SPLITSYS  27.0-32.9 BTUH,553755
1996-07-01,SPLITSYS  33.0-38.9 BTUH,604221
1996-07-01,SPLITSYS  39.0-43.9 BTUH,240880
1996-07-01,SPLITSYS  44.0-53.9 BTUH,259629
1996-07-01,SPLITSYS  54.0-64.9 BTUH,197908
1996-08-01,SPLSYSHP  UNDER 16.5 BTU,4582
1996-08-01,SPLSYSHP  16.5-21.9 BTUH,59159
1996-08-01,SPLSYSHP  22.0-26.9 BTUH,140177
1996-08-01,SPLSYSHP  27.0-32.9 BTUH,146087
1996-08-01,SPLSYSHP  33.0-38.9 BTUH,145201
1996-08-01,SPLSYSHP  39.0-43.9 BTUH,64794
1996-08-01,SPLSYSHP  44.0-53.9 BTUH,55922
1996-08-01,SPLSYSHP  54.0-64.9 BTUH,40649
1996-08-01,SPLITSYS  UNDER 16.5 BTU,11250
1996-08-01,SPLITSYS  16.5-21.9 BTUH,196912
1996-08-01,SPLITSYS  22.0-26.9 BTUH,642298
1996-08-01,SPLITSYS  27.0-32.9 BTUH,628136
1996-08-01,SPLITSYS  33.0-38.9 BTUH,690479
1996-08-01,SPLITSYS  39.0-43.9 BTUH,272945
1996-08-01,SPLITSYS  44.0-53.9 BTUH,299961
1996-08-01,SPLITSYS  54.0-64.9 BTUH,228541
1996-09-01,SPLSYSHP  UNDER 16.5 BTU,4901
1996-09-01,SPLSYSHP  16.5-21.9 BTUH,70679
1996-09-01,SPLSYSHP  22.0-26.9 BTUH,166040
1996-09-01,SPLSYSHP  22.0-26.9 BTUH,2
1996-09-01,SPLSYSHP  27.0-32.9 BTUH,167249
1996-09-01,SPLSYSHP  33.0-38.9 BTUH,164770
1996-09-01,SPLSYSHP  33.0-38.9 BTUH,1
1996-09-01,SPLSYSHP  39.0-43.9 BTUH,73484
1996-09-01,SPLSYSHP  44.0-53.9 BTUH,64431
1996-09-01,SPLSYSHP  54.0-64.9 BTUH,46455
1996-09-01,SPLITSYS  UNDER 16.5 BTU,11950
1996-09-01,SPLITSYS  16.5-21.9 BTUH,217233
1996-09-01,SPLITSYS  22.0-26.9 BTUH,1
1996-09-01,SPLITSYS  22.0-26.9 BTUH,693557
1996-09-01,SPLITSYS  27.0-32.9 BTUH,1
1996-09-01,SPLITSYS  27.0-32.9 BTUH,676770
1996-09-01,SPLITSYS  33.0-38.9 BTUH,751411
1996-09-01,SPLITSYS  33.0-38.9 BTUH,3
1996-09-01,SPLITSYS  39.0-43.9 BTUH,302935
1996-09-01,SPLITSYS  39.0-43.9 BTUH,4
1996-09-01,SPLITSYS  44.0-53.9 BTUH,3
1996-09-01,SPLITSYS  44.0-53.9 BTUH,329410
1996-09-01,SPLITSYS  54.0-64.9 BTUH,9
1996-09-01,SPLITSYS  54.0-64.9 BTUH,253862
1996-10-01,SPLSYSHP  UNDER 16.5 BTU,5245
1996-10-01,SPLSYSHP  16.5-21.9 BTUH,77773
1996-10-01,SPLSYSHP  22.0-26.9 BTUH,2
1996-10-01,SPLSYSHP  22.0-26.9 BTUH,181256
1996-10-01,SPLSYSHP  27.0-32.9 BTUH,182768
1996-10-01,SPLSYSHP  33.0-38.9 BTUH,1
1996-10-01,SPLSYSHP  33.0-38.9 BTUH,182042
1996-10-01,SPLSYSHP  39.0-43.9 BTUH,81790
1996-10-01,SPLSYSHP  44.0-53.9 BTUH,71687
1996-10-01,SPLSYSHP  54.0-64.9 BTUH,51601
1996-10-01,SPLITSYS  UNDER 16.5 BTU,12759
1996-10-01,SPLITSYS  16.5-21.9 BTUH,235290
1996-10-01,SPLITSYS  22.0-26.9 BTUH,1
1996-10-01,SPLITSYS  22.0-26.9 BTUH,728121
1996-10-01,SPLITSYS  27.0-32.9 BTUH,706540
1996-10-01,SPLITSYS  27.0-32.9 BTUH,2
1996-10-01,SPLITSYS  33.0-38.9 BTUH,8
1996-10-01,SPLITSYS  33.0-38.9 BTUH,795887
1996-10-01,SPLITSYS  39.0-43.9 BTUH,326126
1996-10-01,SPLITSYS  39.0-43.9 BTUH,4
1996-10-01,SPLITSYS  44.0-53.9 BTUH,355839
1996-10-01,SPLITSYS  44.0-53.9 BTUH,-7
1996-10-01,SPLITSYS  54.0-64.9 BTUH,11
1996-10-01,SPLITSYS  54.0-64.9 BTUH,271160
1996-11-01,SPLSYSHP  UNDER 16.5 BTU,5541
1996-11-01,SPLSYSHP  16.5-21.9 BTUH,86774
1996-11-01,SPLSYSHP  22.0-26.9 BTUH,199943
1996-11-01,SPLSYSHP  22.0-26.9 BTUH,2
1996-11-01,SPLSYSHP  27.0-32.9 BTUH,196116
1996-11-01,SPLSYSHP  33.0-38.9 BTUH,1
1996-11-01,SPLSYSHP  33.0-38.9 BTUH,197983
1996-11-01,SPLSYSHP  39.0-43.9 BTUH,88204
1996-11-01,SPLSYSHP  44.0-53.9 BTUH,78311
1996-11-01,SPLSYSHP  54.0-64.9 BTUH,1
1996-11-01,SPLSYSHP  54.0-64.9 BTUH,55847
1996-11-01,SPLITSYS  UNDER 16.5 BTU,13829
1996-11-01,SPLITSYS  16.5-21.9 BTUH,247560
1996-11-01,SPLITSYS  22.0-26.9 BTUH,758261
1996-11-01,SPLITSYS  22.0-26.9 BTUH,2
1996-11-01,SPLITSYS  27.0-32.9 BTUH,4
1996-11-01,SPLITSYS  27.0-32.9 BTUH,731795
1996-11-01,SPLITSYS  33.0-38.9 BTUH,18
1996-11-01,SPLITSYS  33.0-38.9 BTUH,826443
1996-11-01,SPLITSYS  39.0-43.9 BTUH,4
1996-11-01,SPLITSYS  39.0-43.9 BTUH,342658
1996-11-01,SPLITSYS  44.0-53.9 BTUH,-1
1996-11-01,SPLITSYS  44.0-53.9 BTUH,376338
1996-11-01,SPLITSYS  54.0-64.9 BTUH,11
1996-11-01,SPLITSYS  54.0-64.9 BTUH,287082
1996-12-01,SPLSYSHP  UNDER 16.5 BTU,5962
1996-12-01,SPLSYSHP  16.5-21.9 BTUH,90938
1996-12-01,SPLSYSHP  22.0-26.9 BTUH,211712
1996-12-01,SPLSYSHP  22.0-26.9 BTUH,2
1996-12-01,SPLSYSHP  27.0-32.9 BTUH,207535
1996-12-01,SPLSYSHP  33.0-38.9 BTUH,210546
1996-12-01,SPLSYSHP  33.0-38.9 BTUH,1
1996-12-01,SPLSYSHP  39.0-43.9 BTUH,93198
1996-12-01,SPLSYSHP  44.0-53.9 BTUH,82625
1996-12-01,SPLSYSHP  54.0-64.9 BTUH,58741
1996-12-01,SPLSYSHP  54.0-64.9 BTUH,1
1996-12-01,SPLITSYS  UNDER 16.5 BTU,14829
1996-12-01,SPLITSYS  16.5-21.9 BTUH,257643
1996-12-01,SPLITSYS  22.0-26.9 BTUH,786874
1996-12-01,SPLITSYS  22.0-26.9 BTUH,2
1996-12-01,SPLITSYS  27.0-32.9 BTUH,4
